RecordID	RID	Squib	ReferenceReaction
39580	17040	http://kinetics.nist.gov/kinetics/Detail;jsessionid=630F75CB416734D3E792BA8E59C179C9?id=1993DON/SHA273-284:26	Cyclohexane + ·OH → Cyclohexyl + H2O
39586	17042	http://kinetics.nist.gov/kinetics/Detail;jsessionid=49F420BEBE52052B077BA0D6C0AA6CCA?id=2004SID/WEN7386-7392:8	·OH + (C2H5)2NO → Products
39587	17042	http://kinetics.nist.gov/kinetics/Detail;jsessionid=49F420BEBE52052B077BA0D6C0AA6CCA?id=2004ODO/SID7386-7392:8	n-C3H7OH + ·OH → Products
39588	17042	http://kinetics.nist.gov/kinetics/Detail;jsessionid=49F420BEBE52052B077BA0D6C0AA6CCA?id=1993WIL/ORJ539-548:4	CH3CH=CH2 + ·OH → Products
39602	17053	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B95A0CA6254FE83F28F98C5CE1B9CBA4?id=1998PLA/CHR4829-4838:4	(CH3)2O + ·Cl → HCl + CH3OCH2
39603	17053	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B95A0CA6254FE83F28F98C5CE1B9CBA4?id=1998PLA/CHR4829-4838:5	CH3OH + ·Cl → Products
39604	17053	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B95A0CA6254FE83F28F98C5CE1B9CBA4?id=1998PLA/CHR4829-4838:7	C2H4 + ·Cl → Products
39610	17056	http://kinetics.nist.gov/kinetics/Detail;jsessionid=4B690FF198E1596E520BA2F7D04397E6?id=2003MOR/SID1499-1505:61	n-C4H9OH + ·OH → Products
39611	17056	http://kinetics.nist.gov/kinetics/Detail;jsessionid=4B690FF198E1596E520BA2F7D04397E6?id=1998PLA/CHR4829-4838:9	Cyclohexane + ·OH → Cyclohexyl + H2O
39612	17056	http://kinetics.nist.gov/kinetics/Detail;jsessionid=4B690FF198E1596E520BA2F7D04397E6?id=1998PLA/CHR4829-4838:10	C2H4 + ·OH → Products
39625	17058	http://kinetics.nist.gov/kinetics/Detail;jsessionid=F6B12350991405DCE1D279C373ACC092?id=2014ALW/WAL113-120:1	1-C6H14 + ·Cl → Products
39626	17058	http://kinetics.nist.gov/kinetics/Detail;jsessionid=F6B12350991405DCE1D279C373ACC092?id=2014ALW/WAL113-120:2	1-C4H8 + ·Cl → Products
39631	17059	http://kinetics.nist.gov/kinetics/Detail;jsessionid=32C045DECE67C50F8AD901BE3E89420A?id=2014ALW/WAL113-120:10	(E)-2-C4H8 + O3 → Products
39632	17059	http://kinetics.nist.gov/kinetics/Detail;jsessionid=32C045DECE67C50F8AD901BE3E89420A?id=2014ALW/WAL113-120:11	1-Methylcyclopentene + O3 → Products
39633	17059	http://kinetics.nist.gov/kinetics/Detail;jsessionid=32C045DECE67C50F8AD901BE3E89420A?id=2014ALW/WAL113-120:9	(Z)-2-C4H8 + O3 → Products
39637	17060	http://kinetics.nist.gov/kinetics/Detail;jsessionid=EFA6F947E36966B44A4E26C36206FAFB?id=2014ALW/WAL113-120:7	(E)-2-C4H8 + ·OH → Products
39638	17060	http://kinetics.nist.gov/kinetics/Detail;jsessionid=EFA6F947E36966B44A4E26C36206FAFB?id=2014ALW/WAL113-120:8	(Z)-2-C4H8 + ·OH → Products
39661	17071	http://kinetics.nist.gov/kinetics/Detail;jsessionid=54E5617B2885F81DA72C7ED70532267B?id=1987ATK/TUA64:10	(CH3)2O + ·OH → H2O + CH3OCH2
39663	17073	http://kinetics.nist.gov/kinetics/Detail;jsessionid=0831D776644881B8AEC454F743BDEE8C?id=1965OWE/PEA1722-1734:6	(CH3)2CHCH(CH3)2 + ·CF3 → CHF3 + (CH3)2CHC(·)(CH3)2
39682	17079	http://kinetics.nist.gov/kinetics/Detail;jsessionid=EC4C9EB3AF0BBDDA56F22C249632B223?id=2010SHA/PUS98-105:5	1-C6H14 + ·Cl → Products
39683	17079	http://kinetics.nist.gov/kinetics/Detail;jsessionid=EC4C9EB3AF0BBDDA56F22C249632B223?id=2010SHA/PUS98-105:6	1-C6H14 + ·Cl → Products
39688	17080	http://kinetics.nist.gov/kinetics/Detail;jsessionid=045145A0786DD9CF07BE2D400BBAE2EC?id=1990SOL/VAN937:1	Benzene + O· → Products
39689	17080	http://kinetics.nist.gov/kinetics/Detail;jsessionid=045145A0786DD9CF07BE2D400BBAE2EC?id=1960CVE1063-1067:3	Cyclopentene + O· → Products
39700	17085	http://kinetics.nist.gov/kinetics/Detail;jsessionid=88B0102753BDB09580BAE9528A0A4ADD?id=1990SCH/GEB1265:3	Cyclohexene + H· → Cyclohexyl
39711	17087	http://kinetics.nist.gov/kinetics/Detail;jsessionid=42E3A6C4073A5A22A34C2C4E724BE1BA?id=2013STE/ALM227-235:32	c-C7H12 + NO3 → Products
39712	17087	http://kinetics.nist.gov/kinetics/Detail;jsessionid=42E3A6C4073A5A22A34C2C4E724BE1BA?id=2011ZHA/HUS12161-12172:13	(E)-2-C4H8 + NO3 → Products
39713	17087	http://kinetics.nist.gov/kinetics/Detail;jsessionid=42E3A6C4073A5A22A34C2C4E724BE1BA?id=1998KIN/BER111-118:2	(E)-2-C4H8 + NO3 → Products
39715	17089	http://kinetics.nist.gov/kinetics/Detail;jsessionid=99F7B92B8B69891D6AC80EFBE21D114E?id=1969GRO/LIS431:1	(C2H5)3B + Br· → Other Products + HBr
39716	17090	http://kinetics.nist.gov/kinetics/Detail;jsessionid=00C726C80250F14C3B2D0D2C11D6B8C6?id=2012CAR/DEG11695-11705:2	Cyclohexene + O3 → Products
39717	17090	http://kinetics.nist.gov/kinetics/Detail;jsessionid=00C726C80250F14C3B2D0D2C11D6B8C6?id=2003ASC/TUA2247-2255:1	Cyclohexene + O3 → Products
39718	17090	http://kinetics.nist.gov/kinetics/Detail;jsessionid=00C726C80250F14C3B2D0D2C11D6B8C6?id=2000FEN/KUW7246-7254:2	Cyclohexene + O3 → Products
39731	17091	http://kinetics.nist.gov/kinetics/Detail;jsessionid=F61E3542BE0E367D77B8BCB0878ACD43?id=2013STE/ALM227-235:7	c-C7H12 + O3 → Products
39732	17091	http://kinetics.nist.gov/kinetics/Detail;jsessionid=F61E3542BE0E367D77B8BCB0878ACD43?id=1992GRE/ATK803-811:6	CH3CH=CH2 + O3 → Products
39733	17091	http://kinetics.nist.gov/kinetics/Detail;jsessionid=F61E3542BE0E367D77B8BCB0878ACD43?id=1960VRB/CVE1053-1062:6	iso-C4H8 + O3 → Products
39751	17098	http://kinetics.nist.gov/kinetics/Detail;jsessionid=08C90CAC2ECF051681D3A7760A351663?id=2012ASC/ARE9507-9515:1	1,3,5-Trimethylbenzene + ·OH → Products
39752	17098	http://kinetics.nist.gov/kinetics/Detail;jsessionid=08C90CAC2ECF051681D3A7760A351663?id=1989ROG177-181:3	(E)-2-C4H8 + ·OH → Products
39753	17098	http://kinetics.nist.gov/kinetics/Detail;jsessionid=08C90CAC2ECF051681D3A7760A351663?id=1982BAR/BAS545:8	C2H4 + ·OH → Products
39754	17098	http://kinetics.nist.gov/kinetics/Detail;jsessionid=08C90CAC2ECF051681D3A7760A351663?id=1976WU/JAP191:7	(Z)-2-C4H8 + ·OH → Products
39755	17098	http://kinetics.nist.gov/kinetics/Detail;jsessionid=08C90CAC2ECF051681D3A7760A351663?id=1976DAR/WIN415:4	iso-C4H8 + ·OH → Products
39763	17104	http://kinetics.nist.gov/kinetics/Detail;jsessionid=600DF8D22729464B9C64812D2A185CBA?id=1965OWE/PEA1722-1734:5	(CH3)2CHCH(CH3)2 + ·CF3 → CHF3 + (CH3)2CHC(·)(CH3)2
39796	17113	http://kinetics.nist.gov/kinetics/Detail;jsessionid=950C9F8B13B772B6B6BE71FA8D72E96C?id=1995ASC/ATK613-622:12	n-C4H10 + ·Cl → Other Products + HCl
39797	17113	http://kinetics.nist.gov/kinetics/Detail;jsessionid=950C9F8B13B772B6B6BE71FA8D72E96C?id=1988WAL/SKE867:23	n-C4H10 + ·Cl → Other Products + HCl
39798	17113	http://kinetics.nist.gov/kinetics/Detail;jsessionid=950C9F8B13B772B6B6BE71FA8D72E96C?id=1985ATK/ASC33-41:25	n-C4H10 + ·Cl → Other Products + HCl
39801	17114	http://kinetics.nist.gov/kinetics/Detail;jsessionid=D4B0CF8FDB56EF4DC60B9AC0943D9B49?id=2006LI/PIR386-398:2	(CH3)2O + ·Cl → Products
39802	17114	http://kinetics.nist.gov/kinetics/Detail;jsessionid=D4B0CF8FDB56EF4DC60B9AC0943D9B49?id=2006LI/PIR386-398:5	1,4-Dioxane + ·Cl → Products
39812	17115	http://kinetics.nist.gov/kinetics/Detail;jsessionid=B07F09EA3C450A30FDE8E33CD2529FC1?id=1967STU/HEI4843-4846:4	CF3CF=CF2 + O· → Products
39816	17117	http://kinetics.nist.gov/kinetics/Detail;jsessionid=0231447617AF5EA15CCC70D3F6B7668C?id=1986FUJ/GAU375:2	Cyclohexane-d12 + D → D2 + Cyclohexyl-d11
39819	17118	http://kinetics.nist.gov/kinetics/Detail;jsessionid=4ED7558718EFFEF1C07D8EDA282620D3?id=1990HEI/HOY1400-1404:2	C2H6 + ·F → ·C2H5 + HF
39820	17118	http://kinetics.nist.gov/kinetics/Detail;jsessionid=4ED7558718EFFEF1C07D8EDA282620D3?id=1977SMI/SET898:12	CH4 + ·F → ·CH3 + HF
39821	17118	http://kinetics.nist.gov/kinetics/Detail;jsessionid=4ED7558718EFFEF1C07D8EDA282620D3?id=1975MAN/GRA39:6	H2 + ·F → HF + H·
39826	17121	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A8B12938BAA182E842A971FA52A31F3D?id=1989GUL/WAL1799-1812:4	O2 + H· → ·OH + O·
39827	17121	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A8B12938BAA182E842A971FA52A31F3D?id=1984FUJ/RUF2570:2	Cyclohexane-d12 + H· → HD + Cyclohexyl-d11
